,Category,Post 1,Post 2
193,emotional state,"Overwhelmed, sad, and self-pitying","Disappointed, frustrated, and nostalgic"
194,focus,Personal struggles and feelings,Societal and philosophical concerns
195,tone towards self,Self-critical and self-pitying,Self-reflective and introspective
196,tone,Impatient and frustrated,Anxious and suicidal
197,content,General dissatisfaction,Specifically about mental health and college pressures
198,language,Includes profanity,Includes profanity and more detailed descriptions of mental health concerns
199,length,Short,Longer and more detailed
200,purpose,Expressing frustration,Expressing anxiety and seeking help
201,specifics,No specific details,Specific details about college pressures and mental health concerns
202,topic,Mental Health,Mental Health
203,tone,Concerned/Seeking Help,Inquiring/Seeking Information
204,specificity,Specific (depression's effects on appearance),Specific (panic attacks in sleep)
205,length,Short,Short
206,content,Question with implied personal issue,Question with no implied personal issue
207,mental health,"Expresses suicidal thoughts, feelings of hopelessness, depression, anxiety, and a history of suicidal attempts.",Asks about a specific symptom (Derealization) and its possible causes.
208,age,22 years old,
209,marital status,Married,
210,mental health treatment,"Has had counseling and been on medication, but feels numb and dead",
211,tone,"Desperate, hopeless, and suicidal",Curious and inquiring
212,specifics,Provides specific details about their life and struggles,Does not provide specific details about their life or struggles
213,purpose,Expresses a desire to end their life,Seeks information and understanding
214,author's perspective,"Personal, reflective, and open about mental health struggles","Brief, vague, and focused on a specific event"
215,tone,"Honest, vulnerable, and hopeful","Neutral, matter-of-fact, and brief"
216,content,"Discusses the author's mental health, relationships, and personal growth","Mentions a specific event, but does not elaborate"
217,length,"Longer, with a personal anecdote and a reference to a quote",Short and concise
218,purpose,"Seeks support, shares personal experience, and offers a message of hope","Does not explicitly state a purpose, but may be seeking support or sharing a personal experience"
219,language,"Uses colloquial expressions and slang (e.g., 'Black Knight', 'jackoff')",Uses formal language
220,emotional state,"frustrated, desperate, cold, crying","hopeless, empty, alone, suicidal"
221,reason for distress,"car broke down, lack of financial resources, isolation","unfulfilling job, financial struggles, relationship issues, lack of future prospects"
222,tone,"angry, bitter","despondent, suicidal"
223,specific issues,"car trouble, lack of support from family","unfulfilling job, financial struggles, relationship issues, infertility concerns"
224,language and profanity,contains profanity,contains profanity
225,long-term perspective,short-term focus on immediate problem,long-term focus on future prospects and goals
226,relationships,estrangement from family,struggling relationship with boyfriend
227,tone,"Negative, emotional, and desperate","Angry, frustrated, and assertive"
228,language,"Informal, uses colloquial expressions (e.g., 'fucking it up')","Informal, uses colloquial expressions (e.g., 'bullshitter'), but also includes more detailed descriptions and examples"
229,content,Expresses general feelings of sadness and hopelessness,"Describes a specific situation and a person's behavior, providing examples and context"
230,purpose,Appears to be a cry for help or a release of emotions,"Aims to express frustration and anger towards someone's behavior, possibly to set boundaries or distance oneself"
231,length,Short and concise,Longer and more detailed
232,specificity,Lacks specific details,Includes specific examples and details about the person's behavior
233,conclusion,Does not provide a clear conclusion or resolution,Concludes with a clear statement about not wanting to date the person again and expressing frustration with the situation
234,tone,Neutral/Indirect,Emotional/Honest
235,length,Short,Long
236,content,Vague,Detailed
237,purpose,Unclear,Seeking Advice
238,specifics,None,"Mention of childhood trauma, depression, suicidal thoughts, relationship issues, and self-doubt"
239,language,Simple,Complex
240,emotional expression,None,High
241,specific emotions,None,"Depression, Suicidal thoughts, Anger, Sadness, Frustration, Helplessness"
242,request for help,Implicit,Explicit
243,emotional state,"anxious, proud, relieved","upset, angry"
244,reason for emotion,overcoming a big event and anxiety,friend's new relationship and perceived objectification
245,physical symptoms,"head heavy, nauseated, tired",
246,tone,"reflective, seeking support","angry, accusatory"
247,context,returning to school after a break,workplace dynamics and relationships
248,emotional state,Feeling trapped and helpless,Feeling unloved and abandoned
249,tone,Desperate,Resigned
250,mention of suicide,No mention,Mention of writing a suicide note
251,cause of emotional state,Lost job,Lack of care from others
252,level of urgency,High,Low
253,mental health,"How to pick up the pieces of your life after a manic episode, explaining mania, and taking responsibility for actions.","Anxiety about going to the gym, weight gain, and self-acceptance."
254,age,Adult,16-17 years old
255,relationship status,"Ex-partner, undiagnosed until recently","Girlfriend, no mention of undiagnosed mental health"
256,tone,"Reflective, regretful, and seeking advice","Anxious, uncertain, and seeking advice"
257,specific issues,"Mania, relationship issues, and taking responsibility","Weight gain, gym anxiety, self-acceptance, and social anxiety"
258,request for advice,Yes,Yes
259,tone,Lighthearted and casual,Serious and emotional
260,length,Short and concise,Long and detailed
261,content,Sharing a personal solution to anxiety,Sharing a personal experience of a difficult situation
262,purpose,To share a helpful tip,To express frustration and seek support
263,language,Informal and conversational,Formal and emotive
264,structure,Simple and straightforward,Complex and narrative
265,emotional tone,Positive and encouraging,Negative and frustrated
266,tone,Direct and explicit,Emotional and reflective
267,purpose,Seeking information on fatal prescription drug combinations,"Sharing personal struggles with depression, anxiety, and social anxiety"
268,language,Informal and vague,Formal and detailed
269,content,Requesting information on a sensitive topic,Sharing personal experiences and emotions
270,intent,Harmful or suicidal,Seeking support and understanding
271,specifics,Mentions specific drugs,Mentions specific events and emotions
272,tone towards self,Neutral,Self-critical and regretful
273,tone towards others,Neutral,Respectful and considerate (towards family)
274,tone,"Sad, anxious, and seeking help","Sad, emotional, and introspective"
275,purpose,Seeking advice on making and keeping friends,Breaking up with someone and expressing feelings
276,emotional state,Anxious about social interactions and friendships,Heartbroken and emotional about a relationship
277,relationship,Struggling with making friends,Ending a romantic relationship
278,mental health,Mentioned generalized anxiety disorder,No mention of mental health
279,request,Asks for tips,Expresses hope for a continued platonic relationship
280,topic,Mental Health/Bipolar,Relationships
281,tone,Personal/Reflective,Emotional/Vulnerable
282,length,Short,Short
283,specificity,Specific (bipolar),Specific (liking someone)
284,emotional intensity,Neutral,High
285,mental health,Finally told my friends and family I’m bipolar and it felt SO good It felt amazing to get that off my chest three years later.,
286,mental health,,I just started taking a Escitalopram 10mg (only taking half a pill) about a week ago to help with general anxiety.
287,mental health,,"Among others minor effects, the biggest side effect form so far is very low sexual drive."
288,mental health,,Does this go away after a while or does this persist?
289,mental health,,"My anxiety isn't terrible, I'd rather have some general anxiety than having no sex drive."
290,mental health,,
291,tone,Anxious and apologetic,Angry and hateful
292,content,Personal anxiety,Criticism of the US government and society
293,language,Mild language,Strong profanity and derogatory language
294,purpose,Seeking understanding or support,Expressing frustration and anger
295,specifics,No specific issues mentioned,"Criticism of Al Franken's resignation, the US government, and societal issues"
296,conclusion,No conclusion,Decision to leave the US
297,tone,Casual and lighthearted,Desperate and emotional
298,purpose,Seeking commonality,Seeking support and help
299,content,Simple and straightforward,Detailed and personal
300,emotional state,Neutral,Depressed and anxious
301,specifics,None,"Mental health issues, job loss, isolation, and relationship problems"
302,request for help,Implicit,Explicit
303,tone,Critical and concerned,Angry and vengeful
304,language,"Mild profanity (beucase, it)","Strong profanity (fucking, goddamn)"
305,subject,Suffering in silence and societal expectations,Hatred and self-loathing
306,purpose,Sharing thoughts and raising awareness,Expressing intense emotions and possibly seeking validation
307,level of self-awareness,Self-aware and reflective,Lacking self-awareness and introspection
308,potential for harm,Low,High
309,medication,Wellbutrin,Lamictal/Quetiapine combo
310,side effects,"tense, energy, clenching, headaches, anxiety",sleep disturbances
311,previous medications,"Zoloft, Effexor, Paxil, Pristiq, Lexapro",
312,sleep,"tired, but with excess energy","sleep disturbances, previously had undisturbed sleep"
313,tone,"concerned, seeking advice","frustrated, seeking advice"
314,mental health,"Expresses suicidal thoughts and feelings of hopelessness, mentions self-harm, and a desire to end life.","Expresses feelings of hopelessness, anxiety, and desperation, but does not explicitly mention suicidal thoughts or self-harm."
315,age,17 years old,Age not specified
316,reason for distress,"Argument with a friend and family members, feeling of being alone","Recurring thoughts and feelings of inadequacy, anxiety, and desperation"
317,tone,"Angry, frustrated, and desperate","Anxious, desperate, and apologetic"
318,language used,Profanity and strong language,"Profanity and strong language, but less frequent and less intense"
319,seeking help,"Does not explicitly seek help, but expresses a desire to talk to someone","Seeks help through a throwaway Reddit account, but feels ashamed and unsure if it's the right place"
320,specific thoughts,"Does not mention specific thoughts, but expresses a desire to end life",Mentions specific thoughts of inadequacy and attention-seeking
321,tone,"Despondent, hopeless, and anxious","Despondent, hopeless, and self-punishing"
322,reason for despair,Environmental concerns and existential crisis,Self-perceived worthlessness and guilt
323,self-harm,"Mention of antidepressants, but no self-harm",Self-starvation and self-harm
324,purpose,Questioning the point of life and waiting for a catastrophic event,Feeling like a burden and wanting to be punished
325,emotional state,"Anxious, hopeless, and uncertain","Worthless, guilty, sad, and self-punishing"
326,emotional state,"feeling of failure, sadness, guilt","confusion, mixed emotions, scattered thoughts"
327,tone,"desperate, hopeless","confused, uncertain"
328,language,"simple, direct","complex, fragmented"
329,self-perception,feeling of inadequacy,feeling of uncertainty
330,mood,negative,neutral/positive (despite mixed emotions)
331,specific emotions,"sadness, guilt","anger, nervousness, confidence"
332,mental health,"Describes depression, feelings of isolation, self-hatred, and relationship issues",
333,age,Mid-twenties,
334,relationship status,"In a relationship, engaged",
335,tone,"Negative, hopeless, and desperate","Reflective, matter-of-fact"
336,content,"Depression, relationship issues, academic struggles, and feelings of worthlessness",Childhood OCD behaviors and their possible origins
337,language,Includes strong language and profanity,Mild language
338,purpose,"Unclear, possibly seeking support or venting","Reflective, possibly seeking self-awareness"
339,tone towards others,Negative towards self and partner,Neutral towards self and others
340,tone,"Depressed, hopeless, and suicidal","Wistful, introspective, and slightly melancholic"
341,content,"Suicidal thoughts, regret, and helplessness","Desire to be mute, feelings of inadequacy, and appreciation for a loved one"
342,language,"Profanity, strong emotions, and a sense of desperation","Mild language, introspective tone, and a sense of longing"
343,purpose,Expressing suicidal thoughts and feelings of hopelessness,Exploring a personal desire and seeking connection
344,conclusion,Suicidal intent and a sense of finality,A sense of longing and a desire for connection
345,tone,"Sad, reflective, and slightly defensive","Desperate, anxious, and emotional"
346,reason for posting,To process and share grief,To seek help and support for mental health
347,specific issue,Grief and loss of a loved one,Depression and anxiety
348,age and perspective,Young adult (21) with a recent loss,"No specific age mentioned, but seeking help for mental health"
349,request for help,"No explicit request for help, but seeking validation",Explicit request for tips to feel better
350,emotional state,"Sad, guilty, and uncertain","Desperate, anxious, and emotional"
351,tone,Anxious and seeking help,Frustrated and hopeless
352,emotional state,Stressed and depressed,Disappointed and unenthusiastic
353,reason for posting,Seeking advice on managing stress,Expressing frustration with social plans
354,language and humor,Includes a lighthearted tone and apology for clickbaiting,Does not include humor
355,request,Asks for advice,Does not ask for advice
356,tone,Concerned and seeking help,Confessional and somewhat unusual
357,purpose,Seeking understanding and advice on social anxiety,Sharing a personal desire for breast implants
358,content,Describes personal experiences and behaviors related to social anxiety,Discusses a personal desire for breast implants
359,language,"Includes phrases like 'I dunno', 'I feel like', and 'I'm not usually the one to introduce myself right off the bat'",Includes phrases like 'call it a bad case of breast envy or something'
360,self-identification,Identifies as someone who is shy and an introvert,Identifies as a guy in the military
361,request,Asks for help and advice,Does not ask for help or advice
362,tone,Positive and hopeful,Negative and uncertain
363,disclosure,Implicit disclosure (hinting at bipolar diagnosis),Explicit disclosure (openly stating bipolar diagnosis)
364,concerns,None mentioned,"Fear of being pitied, fear of being viewed as irresponsible and unstable"
365,relationship status,On a date,Seeking advice on starting a relationship
366,mental health approach,Mention of medication and alternative methods,Concerns about medication and its impact on relationships
367,request,Sharing a positive experience,Seeking advice and help
368,mood and tone,"Depressed, hopeless, and self-deprecating","Nervous, anxious, and hopeful"
369,age and relationship status,"27, single, and a virgin","Age not mentioned, recently out of a relationship"
370,reason for posting,Seeking validation and support for low self-esteem,Seeking advice and luck for confessing to a crush
371,relationship with others,"Feels humiliated and ridiculed by others, especially women",Has a crush on someone and is seeking to start a new relationship
372,self-perception,"Feels ugly and unattractive, believes only 'chiseled 10/10 hunks' get attention",Not mentioned
373,resolution,"None, just expressing feelings and frustrations","Seeks advice and luck, later updates with a positive outcome"
374,tone of the update,Negative and despairing,"Initially negative, but later positive and happy"
375,emotional tone,"Angry, Frustrated, Helpless, Sad","Anxious, Worried, Cautious"
376,subject matter,"Family dynamics, Sibling rivalry, Parental expectations, Mental health","Relationship, Infidelity, Jealousy, Fear of being discovered"
377,language and profanity,Contains strong profanity and explicit language,Mild profanity and informal language
378,length and complexity,"Longer and more complex, with multiple storylines and emotions","Shorter and more straightforward, with a single concern"
379,purpose,"Venting and seeking understanding, possibly seeking advice",Seeking reassurance and advice on how to handle a situation
380,tone towards others,Critical and resentful towards family members,Concerned and anxious about hurting someone else
381,tone,"Desperate, hopeless, and suicidal","Proud, emotional, and triumphant"
382,content,"Mental health struggles, poverty, suicidal thoughts, and feelings of worthlessness","Child's achievement in wrestling, perseverance, and parental pride"
383,language,"Profanity, cursing, and derogatory self-talk","Positive language, encouragement, and celebration"
384,purpose,Expressing feelings of hopelessness and desperation,Sharing a moment of pride and accomplishment
385,author's situation,"Adult with BPD, living in poverty, and struggling with PTSD","Parent of a 12-year-old child, involved in their child's activities"
386,emotional state,"Overwhelmed by pain, fear, and anxiety","Euphoric, proud, and emotional"
387,request for help,"Implicitly requests help, but also expresses reluctance to seek it",None
388,tone,Positive and relieved,Sad and longing
389,subject matter,Academic achievement and stress relief,Desire for a family and emotional fulfillment
390,emotional state,Triumphant and happy,"Sad, anxious, and insecure"
391,life situation,"Balancing work, classes, and personal struggles",Desire for a family and fear of repeating past experiences
392,language,Uses phrases like 'I am so glad that the stress about that is gone for now.',Uses phrases like 'I have no love for either of them' and 'I wish for the same thing'
393,purpose,Sharing a personal achievement and stress relief,Sharing a deep-seated desire and emotional need
394,tone,Reflective and melancholic,Distressed and uncertain
395,content,Nostalgia and regret about not creating lasting memories,Suicidal thoughts and feelings of hopelessness
396,language,Formal and coherent,Informal and fragmented
397,purpose,Sharing a personal reflection,Seeking help and clarification about mental health
398,emotional intensity,Low to moderate,High
