,category,featurename,short_description,rating,feature_id
10,emotionalstate,Sadness,A feeling of sorrow or unhappiness,"none, low, medium, high (0-3)",emotionalstate_Sadness
11,emotionalstate,Self-Pity,"A feeling of self-sympathy or self-compassion, often accompanied by a sense of helplessness","none, low, medium, high (0-3)",emotionalstate_Self-Pity
12,emotionalstate,Self-Loathing,A feeling of intense self-disgust or self-hatred,"none, low, medium, high (0-3)",emotionalstate_Self-Loathing
13,emotionalstate,Insecurity,A feeling of uncertainty or doubt about one's abilities or worth,"none, low, medium, high (0-3)",emotionalstate_Insecurity
14,emotionalstate,Inadequacy,A feeling of being insufficient or inadequate,"none, low, medium, high (0-3)",emotionalstate_Inadequacy
15,emotionalstate,Trauma,A feeling of intense emotional pain or distress caused by a traumatic event,"none, low, medium, high (0-3)",emotionalstate_Trauma
16,emotionalstate,Euphoria,A feeling of intense happiness or excitement,"none, low, medium, high (0-3)",emotionalstate_Euphoria
17,emotionalstate,Triumph,A feeling of pride or accomplishment,"none, low, medium, high (0-3)",emotionalstate_Triumph
18,emotionalstate,Love,A strong feeling of affection or attachment,"none, low, medium, high (0-3)",emotionalstate_Love
19,emotionalstate,Hope,A feeling of optimism or expectation of a positive outcome,"none, low, medium, high (0-3)",emotionalstate_Hope
20,emotionalstate,Neutrality,A state of emotional balance or indifference,"none, low, medium, high (0-3)",emotionalstate_Neutrality
0,content,Suicidal Thoughts,Expressing thoughts or plans of self-harm or death,"none, low, medium, high (0-3)",content_Suicidal_Thoughts
1,content,Mental Health Struggles,"Discussing or expressing difficulties with mental health, including anxiety, depression, or other conditions","none, low, medium, high (0-3)",content_Mental_Health_Struggles
2,content,Emotional Distress,"Expressing feelings of sadness, hopelessness, or emotional pain","none, low, medium, high (0-3)",content_Emotional_Distress
3,content,Personal Struggle,"Discussing or expressing difficulties with personal issues, such as relationships, health, or self-doubt","none, low, medium, high (0-3)",content_Personal_Struggle
4,content,Specificity,The level of detail and specificity in the content,"vague, simple, detailed (0-2)",content_Specificity
5,content,Emotional Intensity,The level of emotional intensity or raw emotion expressed in the content,"low, medium, high (0-2)",content_Emotional_Intensity
6,content,Request for Help,"Asking for advice, support, or guidance on a personal issue","none, low, medium, high (0-3)",content_Request_for_Help
7,content,Self-Reflection,"Reflecting on personal experiences, emotions, or behaviors","none, low, medium, high (0-3)",content_Self-Reflection
8,content,Specific Issue Focus,"Focusing on a specific issue or problem, such as relationships, health, or work","none, low, medium, high (0-3)",content_Specific_Issue_Focus
0,mentalhealth,Suicidal Thoughts,Expressing thoughts of ending one's life or self-harm,"none, low, medium, high (0-3)",mentalhealth_Suicidal_Thoughts
1,mentalhealth,Depression,"Experiencing feelings of sadness, hopelessness, and low self-esteem","none, low, medium, high (0-3)",mentalhealth_Depression
2,mentalhealth,Anxiety,"Experiencing feelings of worry, fear, or apprehension","none, low, medium, high (0-3)",mentalhealth_Anxiety
3,mentalhealth,Low Self-Esteem,"Experiencing feelings of worthlessness, self-doubt, or self-hatred","none, low, medium, high (0-3)",mentalhealth_Low_Self-Esteem
4,mentalhealth,Mental Health Crisis,"Experiencing a high risk of mental health crisis, including suicidal thoughts, self-harm, or desperation","none, low, medium, high (0-3)",mentalhealth_Mental_Health_Crisis
5,mentalhealth,Lack of Support,"Experiencing a lack of support from family, friends, or partner","none, low, medium, high (0-3)",mentalhealth_Lack_of_Support
6,mentalhealth,Mental Health Treatment Seeking,Seeking help or treatment for mental health issues,"none, low, medium, high (0-3)",mentalhealth_Mental_Health_Treatment_Seeking
7,mentalhealth,Substance Abuse,Using substances to cope with mental health symptoms,"none, low, medium, high (0-3)",mentalhealth_Substance_Abuse
8,mentalhealth,Bipolar Disorder,"Experiencing symptoms of bipolar disorder, including mania or depression","none, low, medium, high (0-3)",mentalhealth_Bipolar_Disorder
9,mentalhealth,Anxiety Disorder,"Experiencing symptoms of anxiety disorder, including generalized anxiety or OCD","none, low, medium, high (0-3)",mentalhealth_Anxiety_Disorder
10,mentalhealth,Mental Health Awareness,Expressing awareness or understanding of mental health issues,"none, low, medium, high (0-3)",mentalhealth_Mental_Health_Awareness
0,relationships,Social Isolation,"Feeling disconnected from others, lacking social connections","none, low, medium, high (0-3)",relationships_Social_Isolation
1,relationships,Emotional Support Received,Receiving emotional support and care from others,"none, low, medium, high (0-3)",relationships_Emotional_Support_Received
2,relationships,Relationship Quality,"The quality of a romantic relationship, including feelings of security and uncertainty","poor, fair, good, excellent (0-3)",relationships_Relationship_Quality
3,relationships,Family Estrangement,Feeling disconnected or rejected by family members,"none, low, medium, high (0-3)",relationships_Family_Estrangement
4,relationships,Relationship Difficulty,Difficulty forming and maintaining relationships due to various reasons,"none, low, medium, high (0-3)",relationships_Relationship_Difficulty
5,relationships,Burden to Others,Feeling like a burden to family members or others,"none, low, medium, high (0-3)",relationships_Burden_to_Others
6,relationships,Addiction and Mental Health Impact,Impact of addiction and depression on forming and maintaining relationships,"none, low, medium, high (0-3)",relationships_Addiction_and_Mental_Health_Impact
7,relationships,Family Involvement,"Involvement of family members in relationships, including in-laws and extended family","none, low, medium, high (0-3)",relationships_Family_Involvement
0,length,Length,The overall length of the text,"short, medium, long (0-2)",length_Length
1,length,Conciseness,The text's ability to convey information in a brief manner,"low, medium, high (0-2)",length_Conciseness
2,length,Detail,The level of detail provided in the text,"low, medium, high (0-2)",length_Detail
3,length,Narrativity,The presence of a personal story or anecdote in the text,"none, present (0-1)",length_Narrativity
4,length,Paragraphs,The number of paragraphs in the text,"single, multiple (0-1)",length_Paragraphs
0,request,Request_for_Emotional_Support,Desire for someone to listen and show empathy,"none, low, medium, high (0-3)",request_Request_for_Emotional_Support
1,request,Request_for_Belief_and_Support,Desire for partner to believe in and support them,"none, low, medium, high (0-3)",request_Request_for_Belief_and_Support
2,request,Request_for_Advice,Asks for advice or guidance,"none, low, medium, high (0-3)",request_Request_for_Advice
3,request,Request_for_Help,Asks for assistance or support,"none, low, medium, high (0-3)",request_Request_for_Help
4,request,Request_for_Uplifting_Feedback,Asks for positive feedback or help in dealing with past experiences,"none, low, medium, high (0-3)",request_Request_for_Uplifting_Feedback
5,request,Request_for_Specific_Action,Asks for a specific action or outcome (e.g. work-from-home opportunities),"none, low, medium, high (0-3)",request_Request_for_Specific_Action
6,request,Request_for_Closure,Asks to be left alone or have closure,"none, low, medium, high (0-3)",request_Request_for_Closure
0,specifics,Specificity of Struggles,Mentions specific personal struggles or details,"none, low, medium, high (0-3)",specifics_Specificity_of_Struggles
1,specifics,Mention of Mental Health Issues,"Mentions mental health issues such as anxiety, depression, suicidal thoughts, etc.","none, low, medium, high (0-3)",specifics_Mention_of_Mental_Health_Issues
2,specifics,Mention of Substance Abuse,Mentions substance abuse or addiction,"none, low, medium, high (0-3)",specifics_Mention_of_Substance_Abuse
3,specifics,Mention of Specific Life Events,Mentions specific life events or experiences,"none, low, medium, high (0-3)",specifics_Mention_of_Specific_Life_Events
4,specifics,Mention of Relationship Issues,Mentions relationship problems or issues,"none, low, medium, high (0-3)",specifics_Mention_of_Relationship_Issues
5,specifics,Mention of Specific Emotions or Feelings,"Mentions specific emotions or feelings such as anxiety, fear, etc.","none, low, medium, high (0-3)",specifics_Mention_of_Specific_Emotions_or_Feelings
6,specifics,Mention of Specific Situations or Problems,Mentions specific situations or problems,"none, low, medium, high (0-3)",specifics_Mention_of_Specific_Situations_or_Problems
